source,origin_files,source_family,price,cleanliness,difficulty,access,tw_signal,chain_signal,bom_proximity,processing_cost,status,notes
Finnhub Supply Chain Relationships,chainTw.md|chainTw2.t.md,supply_chain_graph,partial,clean,easy,api,high,high,medium,low,keep,premium supplier and customer graph with direct chain relevance
SEC filings,chainTw2.t.md|chain.md,fundamental_filings,free,dirty,medium,filing,medium,high,medium,high,keep,core SEC corpus for supplier customer and risk factor mentions
10-K / 20-F,chainTw2.t.md|chain.md,fundamental_filings,free,mixed,medium,filing,medium,medium,medium,medium,keep,structured filing subset for concentrated supply chain disclosure
earnings transcripts,chain.md|chainTw2.t.md,fundamental_filings,partial,dirty,medium,transcript,medium,medium,low,high,keep,good for bottlenecks guidance and supplier emphasis
company supplier disclosures,chainTw2.t.md|chain.md,fundamental_filings,free,dirty,hard,web,high,high,medium,high,keep,IR ESG and supplier responsibility pages can contain explicit links
company IR / annual reports / ESG / supplier responsibility report,chainTw2.t.md|chain.md,fundamental_filings,free,dirty,hard,web,medium,medium,low,high,maybe,verification layer for disclosed supplier and risk detail
Bloomberg Terminal,chain.md,supply_chain_graph,paid,clean,easy,terminal,high,high,medium,low,keep,strong supply chain mapping and relationship layers but not BOM level
Panjiva,chain.md,supply_chain_graph,paid,clean,easy,database,high,high,medium,low,keep,shipment and customs database with strong supplier linkage
ImportYeti,chain.md,shipping_manifest,free,clean,easy,web,high,high,medium,low,keep,public bill of lading aggregation with low processing cost
TechInsights,chain.md,teardown_bom,paid,clean,medium,report,high,high,high,medium,keep,closest thing here to BOM level component intelligence
SemiAnalysis,chain.md,industry_research,paid,clean,medium,report,high,high,medium,medium,keep,high signal AI and semiconductor supply chain research
ImportGenius,chain.md,shipping_manifest,paid,clean,medium,database,high,high,medium,medium,keep,commercial customs database with useful but noisier traces
Datamyne,chain.md,shipping_manifest,paid,clean,medium,database,high,high,medium,medium,keep,customs database useful for shipment tracing
US import manifest,chain.md,shipping_manifest,partial,dirty,hard,web,high,high,medium,high,keep,raw manifest data is noisy but can reveal exporter importer links
Sayari,chain.md,supply_chain_graph,paid,clean,medium,terminal,medium,high,low,medium,maybe,entity resolution and risk intel layer for relationship tracing
GDELT,chainTw2.t.md,news_signal,free,dirty,easy,api,medium,medium,low,medium,maybe,news event layer for cross border relationship checks
AlphaSense,chain.md,terminal,paid,clean,easy,terminal,medium,medium,low,low,maybe,text aggregation for filings reports and news
Tegus,chain.md,terminal,paid,clean,easy,terminal,medium,medium,low,low,maybe,expert calls and research aggregation
Finnhub,chainTw.md|chain.md,market_data,partial,clean,easy,api,low,low,low,low,drop,generic API wrapper; the supply chain endpoint is the useful part
OpenBB,chainTw.md|chain.md,market_data,free,clean,easy,api,low,low,low,low,drop,aggregation layer only and not a supply chain source by itself
EODHD,chainTw.md|chain.md,market_data,partial,clean,easy,api,low,low,low,low,drop,fundamentals API with no native supply chain endpoint
